,inst,adjBidPx,adjBidStatus,adjBidTime,adjMidPx,adjMidVW,adjMidStatus,adjMidTime,adjAskPx,adjAskStatus,adjAskTime,adjLastPx,adjLastStatus,adjLastTime,LastBestBidPx,LastBestBidSz,LastBestBidTime,LastBestAskPx,LastBestAskSz,LastBestAskTime,EventTime,BidPx,BidPrice,BidSz,AskPx,AskPrice,AskSz,TimeInForce,QuoteTime,TradePx,TradePrice,TradeSz,TradeTime,insertTime,Status,Source,refYield,quoteType,contractId,settlementDate,ClosePx,CloseTime,EventType,Price,Size,Time,RealBidPx,RealBidSz,RealBidSc,BidLastRefreshTime,RealAskPx,RealAskSz,RealAskSc,AskLastRefreshTime,LastFuncCallTime,ZSpread,ValidToTime,LastThresholdUseTime,check,diff,diffNum,date
2270,160206.IB,3.84924287749127,indic/old,43333.618618634304,3.8446214387456297,3.8400000693210603,Tight,43333.6220023148,3.84,indic/old,43333.6047795139,3.84,estimated,43333.6019178819,3.89998713034783,100000000.0,8/21/2018 2:55:41 PM,3.79503107278202,30000000.0,43333.6220023148,43333.6220023148,3.89998713034783,97.7931,100000000.0,3.79503107278202,98.0349,30000000.0,60,43333.6220023148,-,-,0,-,43333.6220240741,TwoSide,cfets,-,PRICE,160206.IB_PKBond,8/22/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/21/2018 2:55:41 PM,-,-,-,8/21/2018 2:55:41 PM,-,-,-,-,False,0.62200231479801,0.62200231479801,43333
2559,160206.IB,3.86,indic/old,43332.6248735764,3.8525,3.8385714285714303,Wide,43332.6248735764,3.83,real,43332.6269097222,3.85,real,43332.6248735764,3.88,2000.0,8/20/2018 3:02:45 PM,3.83,2000.0,43332.6269097222,43332.6269097222,3.88,-,2000.0,3.83,-,2000.0,60,43332.6269097222,-,-,0,-,43332.6269125694,TwoSide,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/20/2018 3:02:45 PM,-,-,-,8/20/2018 3:02:45 PM,-,-,-,-,False,0.6248735764020239,0.6248735764020239,43332
2902,160206.IB,3.7297252924512594,indic/old,43329.6107482639,3.7272252924512594,3.5302574128996898,Wide,43329.61066875,3.4803904430118,real,43329.627456481496,3.7297252924512594,estimated,43329.61066875,3.93037985441964,50000000.0,8/17/2018 3:03:32 PM,3.4803904430118,50000000.0,43329.627456481496,43329.627456481496,3.93037985441964,97.7185,50000000.0,3.4803904430118,98.7623,50000000.0,60,43329.6274564815,-,-,0,-,43329.6274569444,TwoSide,cfets,-,PRICE,160206.IB_PKBond,8/20/2018 12:00:00 AM,-,-,-,-,-,-,-,-,-,8/17/2018 3:03:32 PM,-,-,-,8/17/2018 3:03:32 PM,-,-,-,-,False,0.6106687499996042,0.6106687499996042,43329
3074,160206.IB,3.75,real,43328.6228587963,3.709375,3.71875,estimated,43328.6228587963,3.7,indic/old,43328.620821527795,3.71,real,43328.6228587963,3.75,5000.0,8/16/2018 2:56:55 PM,3.66,3000.0,43328.6228587963,43328.6228587963,3.75,-,0.0,3.66,-,0.0,60,-,3.71,-,0,43328.6228587963,43328.6229018171,Trade,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/16/2018 2:56:55 PM,-,-,-,8/16/2018 2:56:55 PM,-,-,-,-,False,0.6228587962978054,0.6228587962978054,43328
49,160207.IB,4.04,indic/old,43340.6998067708,4.035,4.0399996666777795,Tight,43341.441121678195,4.03,indic/old,43341.441121678195,4.03,estimated,43341.4236058796,4.05,3000.0,8/29/2018 10:35:12 AM,4.03,3000.0,43341.441121678195,43341.4457071991,-,-,0.1,-,-,0.1,60,43341.4457071991,-,-,0,-,43341.4457212616,Quote withdrawn,TJXT-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 10:41:49 AM,-,-,-,8/29/2018 10:41:49 AM,-,-,-,-,False,0.4411216781954863,0.4411216781954863,43341
136,160207.IB,4.05,real,43339.418653761604,4.0025,4.04999875003125,Wide,43339.4161327315,4.0,real,43339.418653761604,4.0,estimated,43339.414926134305,4.05,0.1,8/27/2018 10:02:51 AM,4.0,4000.0,43339.418653761604,43339.418653761604,4.05,-,0.1,4,-,4000.0,60,43339.4186537616,-,-,0,-,43339.4186666319,TwoSide,TJXT-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/27/2018 10:02:51 AM,-,-,-,8/27/2018 10:02:51 AM,-,-,-,-,False,0.4161327315014205,0.4161327315014205,43339
176,160207.IB,4.0,indic/old,43335.714819178196,3.995,3.99833333333333,average,43336.4113322569,3.99,indic/old,43335.7148184491,3.99,real,43335.7148184491,4.15000582440247,80000000.0,8/24/2018 9:32:25 AM,3.93,5000.0,43336.4113322569,43336.4748491782,-,-,0.1,-,-,0.1,60,43336.4748491782,-,-,0,-,43336.791930034706,Quote withdrawn,TJXT-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/24/2018 11:23:46 AM,-,-,-,8/24/2018 11:23:46 AM,-,-,-,-,False,0.41133225690282416,0.41133225690282416,43336
222,160207.IB,4.02,real,43335.6712320718,4.00994140625,3.9900009999666697,Wide,43335.6113378704,3.99,indic/old,43335.6171523843,4.01,real,43335.6113378704,4.02,3000.0,8/23/2018 4:06:34 PM,3.8500929573434197,30000000.0,43335.6579282407,43335.6712320718,4.02,-,3000.0,-,-,0.1,60,43335.6712320718,-,-,0,-,43335.671255925896,BidOnly,PATR-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/23/2018 4:06:34 PM,-,-,-,8/23/2018 4:06:34 PM,-,-,-,-,False,0.6113378704030765,0.6113378704030765,43335
502,160207.IB,4.02,real,43329.4452430556,4.0025,4.0066666666666695,Wide,43329.428383206,4.0,indic/old,43329.4391203704,4.0,estimated,43329.425159918996,4.02,2000.0,8/17/2018 10:41:09 AM,4.0,1000.0,43329.4391203704,43329.4452430556,4.02,-,2000.0,-,-,0.1,60,43329.4452430556,-,-,0,-,43329.445255300896,BidOnly,TPSC-qb,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/17/2018 10:41:09 AM,-,-,-,8/17/2018 10:41:09 AM,-,-,-,-,False,0.4283832060027635,0.4283832060027635,43329
16,160208.IB,3.725,indic/guess,43341.623687581,3.53125,3.72460269865067,estimated,43341.623687581,2.93,real,43341.623687581,3.725,real,43341.623687581,2.95,5000.0,8/29/2018 2:49:50 PM,2.93,1000.0,43341.623687581,43341.623687581,-,-,0.0,2.93,-,0.0,60,-,3.725,-,0,43341.623687581,43341.623802662005,Trade,TJXT-wind,-,YIELD,,-,-,-,-,-,-,-,-,-,-,8/29/2018 2:58:06 PM,-,-,-,8/29/2018 2:58:06 PM,-,-,-,-,False,0.6236875809991034,0.6236875809991034,43341
