Date,FR007
42781,3.34
42780,2.68
42779,2.6
42776,2.6
42775,2.65
42774,2.9
42773,2.6
42772,2.55
42770,2.5
42769,2.7
42761,2.7
42760,2.6
42759,2.85
42758,2.45
42757,2.55
42755,3
42754,2.5
42753,3.2
42752,2.33
42751,2.55
42748,2.4
42747,2.4
42746,2.45
42745,2.35
42744,2.35
42741,2.4
42740,2.48
42739,2.56
42738,2.7
42734,3.24
42733,3.24
42732,2.8
42731,2.5
42730,2.5
42727,2.55
42726,2.7
42725,3
42724,2.65
42723,3
42720,3.24
42719,2.5
42718,2.89
42717,2.6
42716,2.6
42713,2.5
42712,2.5
42711,2.5
42710,2.45
42709,2.6
42706,2.7
42705,3.2
42704,3.24
42703,2.8
42702,2.9
42699,2.9
42698,2.8
42697,2.7
42696,2.7
42695,2.65
42692,2.85
42691,2.85
42690,2.85
42689,2.6
42688,2.7
42685,2.5
42684,2.45
42683,2.4
42682,2.35
42681,2.45
42678,2.4
42677,2.45
42676,2.5
42675,2.8
42674,3
42671,3
42670,3
42669,2.8
42668,2.7
42667,2.95
42664,3
42663,2.7
42662,2.75
42661,2.5
42660,2.45
42657,2.4
42656,2.41
42655,2.39
42654,2.36
42653,2.45
42652,2.3
42651,2.35
42643,2.55
42642,2.85
42641,2.6
42640,2.49
42639,2.44
42636,2.4
42635,2.68
42634,2.74
42633,2.7
42632,2.56
42631,2.4
42627,2.65
42626,2.5
42625,2.35
42622,2.3
42621,2.32
42620,2.38
42619,2.36
42618,2.4
42615,2.4
42614,2.4
42613,2.35
42612,2.35
42611,2.44
42608,2.6
42607,2.6
42606,2.6
42605,2.4
42604,2.48
42601,2.5
42600,2.5
42599,2.5
42598,2.45
42597,2.5
42594,2.5
42593,2.6
42592,2.5
42591,2.4
42590,2.4
42587,2.4
42586,2.4
42585,2.35
42584,2.37
42583,2.4
42580,2.5
42579,2.6
42578,2.62
42577,2.6
42576,2.4
42573,2.4
42572,2.4
42571,2.4
42570,2.37
42569,2.35
42566,2.42
42565,2.4
42564,2.44
42563,2.35
42562,2.45
42559,2.4
42558,2.42
42557,2.35
42556,2.35
42555,2.38
42552,2.4
42551,2.7
42550,2.57
42549,2.43
42548,2.39
42545,2.37
42544,2.4
42543,2.37
42542,2.31
42541,2.31
42538,2.35
42537,2.35
42536,2.35
42535,2.32
42534,2.35
42533,2.3
42529,2.45
42528,2.4
42527,2.4
42524,2.35
42523,2.34
42522,2.45
42521,2.4
42520,2.5
42517,2.5
42516,2.5
42515,2.42
42514,2.3
42513,2.33
42510,2.35
42509,2.4
42508,2.41
42507,2.35
42506,2.4
42503,2.41
42502,2.45
42501,2.4
42500,2.4
42499,2.4
42496,2.4
42495,2.4
42494,2.45
42493,2.37
42489,2.5
42488,2.6
42487,2.7
42486,2.4
42485,2.45
42482,2.55
42481,2.4
42480,2.4
42479,2.3533
42478,2.35
42475,2.41
42474,2.44
42473,2.5
42472,2.38
42471,2.35
42468,2.35
42467,2.36
42466,2.35
42465,2.36
42461,2.45
42460,2.3
42459,2.4
42458,2.28
42457,2.4
42454,2.35
42453,2.38
42452,2.49
42451,2.38
42450,2.38
42447,2.31
42446,2.32
42445,2.34
42444,2.33
42443,2.31
42440,2.3
42439,2.32
42438,2.31
42437,2.33
42436,2.33
42433,2.3
42432,2.3
42431,2.34
42430,2.4
42429,2.4
42426,2.32
42425,2.3
42424,2.41
42423,2.32
42422,2.31
42419,2.32
42418,2.35
42417,2.37
42416,2.42
42415,2.36
42414,2.27
42406,2.26
42405,2.36
42404,2.44
42403,2.39
42402,2.42
42401,2.42
42398,2.3
42397,2.4
42396,2.4
42395,2.45
42394,2.38
42391,2.48
42390,2.5
42389,2.45
42388,2.44
42387,2.35
42384,2.4
42383,2.4
42382,2.39
42381,2.36
42380,2.4
42377,2.35
42376,2.4
42375,2.5
42374,2.45
42373,2.4
42369,2.4
42368,2.5
42367,2.5
42366,2.4
42363,2.35
42362,2.35
42361,2.4
42360,2.41
42359,2.49
42356,2.45
42355,2.43
42354,2.4
42353,2.41
42352,2.4
42349,2.37
42348,2.4
42347,2.35
42346,2.36
42345,2.35
42342,2.36
42341,2.35
42340,2.38
42339,2.38
42338,2.32
42335,2.37
42334,2.38
42333,2.33
42332,2.3
42331,2.3
42328,2.29
42327,2.32
42326,2.3
42325,2.33
42324,2.3
42321,2.3
42320,2.32
42319,2.3
42318,2.31
42317,2.3
42314,2.32
42313,2.31
42312,2.35
42311,2.35
42310,2.33
42307,2.34
42306,2.34
42305,2.3
42304,2.28
42303,2.37
42300,2.4
42299,2.39
42298,2.39
42297,2.4
42296,2.4
42293,2.4
42292,2.41
42291,2.43
42290,2.4
42289,2.37
42287,2.36
42286,2.42
42285,2.37
42277,2.36
42276,2.51
42275,2.35
42272,2.37
42271,2.45
42270,2.34
42269,2.37
